#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-13 16:38:28.255.494.760
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.005570493023255814,0.006210676718447538
-0.005570153023255814,0.005453664890088535
-0.005569813023255814,0.003149715847273728
-0.005569473023255814,0.003906727675628541
-0.005569133023255813,0.005486578447844888
-0.005568793023255814,0.004170036137664999
-0.005568453023255814,0.005190356428056269
-0.005568113023255813,0.00548657844784842
-0.005567773023255814,0.006111936045183867
-0.005567433023255814,0.004564998830719684
-0.005567093023255813,0.004762480177247026
-0.005566753023255814,0.004762480177247026
-0.005566413023255814,0.003873814117873984
-0.005566073023255813,0.003511764982573796
-0.005565733023255814,0.003478851424819299
-0.005565393023255814,0.001569865075054987
-0.005565053023255813,0.001767346421578019
-0.005564713023255814,-0.0006024297367457822
-0.005564373023255814,-0.001326528007346039
-0.005564033023255813,-0.002478502528753142
-0.005563693023255814,-0.001161960218573253
-0.005563353023255814,-0.0006024297367457822
-0.005563013023255814,-0.001918972046925672
-0.005562673023255814,-0.005374895611156563
-0.005562333023255814,-0.00711931417214809
-0.005561993023255814,-0.001556922911638056
-0.005561653023255814,-0.0007011704100094536
-0.005561313023255814,0.005881541140901968
-0.005560973023255814,-0.007250968403142431
-0.005560633023255814,-0.008106720904784802
-0.005560293023255814,-0.005440722726665677
-0.005559953023255814,-0.005934426092983136
-0.005559613023255814,-0.006592697248075176
-0.005559273023255814,-0.006526870132566062
-0.005558933023255814,-0.006921832825620029
-0.005558593023255814,-0.006493956574811504
-0.005558253023255814,-0.006131907439511376
-0.005557913023255814,-0.00787632600049973
-0.005557573023255814,-0.006263561670529605
-0.005557233023255814,-0.004749538013819977
-0.005556893023255814,-0.005934426092981878
-0.005556553023255814,-0.005309068495647449
-0.005556213023255814,-0.002939292337319337
-0.005555873023255814,-0.003729217723427271
-0.005555533023255814,-0.003729217723428708
-0.005555193023255814,-0.003827958396692379
-0.005554853023255814,-0.005835685419716709
-0.005554513023255814,-0.007349709076429989
-0.005554173023255814,-0.004782451571574535
-0.005553833023255814,-0.003762131281183265
-0.005553493023255814,-0.005572376957683906
-0.005553153023255814,-0.005736944746456691
-0.005552813023255814,-0.006395215901547833
-0.005552473023255814,-0.006526870132566062
-0.005552133023255814,-0.01037775638984924
-0.005551793023255814,-0.009028300521912402
-0.005551453023255814,-0.006823092152354322
-0.005551113023255814,-0.005309068495647449
-0.005550773023255814,-0.00392669906995605
-0.005550433023255814,-0.009258695426195259
-0.005550093023255814,-0.009785312350267215
-0.005549753023255814,-0.005901512535229476
-0.005549413023255814,-0.006625610805830033
-0.005549073023255814,-0.006790178594602518
-0.005548733023255814,-0.008534597155594046
-0.005548393023255813,-0.009258695426193583
-0.005548053023255814,-0.008863732733139616
-0.005547713023255814,-0.008337115809066702
-0.005547373023255813,-0.009653658119251621
-0.005547033023255814,-0.0111018546604495
-0.005546693023255814,-0.009127041195176074
-0.005546353023255813,-0.009061214079665222
-0.005546013023255814,-0.008106720904784802
-0.005545673023255814,-0.007744671769484675
-0.005545333023255813,-0.007316795518675492
-0.005544993023255814,-0.007349709076429989
-0.005544653023255814,-0.006164820997265934
-0.005544313023255813,-0.004420402436278179
-0.005543973023255814,-0.006493956574811504
-0.005543633023255814,-0.005309068495647449
-0.005543293023255813,-0.005374895611160216
-0.005542953023255814,-0.007382622634184546
-0.005542613023255814,-0.006987659941129861
-0.005542273023255814,-0.008271288693555253
-0.005541933023255814,-0.0108714597561676
-0.005541593023255814,-0.01106894110269494
-0.005541253023255814,-0.005078673591376446
-0.005540913023255814,-0.005374895611156563
-0.005540573023255814,-0.00392669906995605
-0.005540233023255814,-0.006691437921333818
-0.005539893023255814,-0.01080563264065849
-0.005539553023255814,-0.008633337828857716
-0.005539213023255814,-0.006823092152360368
-0.005538873023255814,-0.009291608983948858
-0.005538533023255814,-0.009818225908021772
-0.005538193023255814,-0.008600424271105375
-0.005537853023255814,-0.008501683597839487
-0.005537513023255814,-0.009159954752930631
-0.005537173023255814,-0.007810498884996244
-0.005536833023255814,-0.008732078502121389
-0.005536493023255814,-0.01037775638984924
-0.005536153023255814,-0.009686571677004801
-0.005535813023255814,-0.01080563264065849
-0.005535473023255814,-0.01123350889146773
-0.005535133023255814,-0.009258695426197894
-0.005534793023255814,-0.008863732733139616
-0.005534453023255814,-0.00962074456149443
-0.005534113023255814,-0.008402942924578032
-0.005533773023255814,-0.007415536191939104
-0.005533433023255814,-0.008633337828857716
-0.005533093023255814,-0.00837002936682126
-0.005532753023255814,-0.008468770040084931
-0.005532413023255814,-0.007382622634184546
-0.005532073023255814,-0.007152227729902647
-0.005531733023255814,-0.007415536191939104
-0.005531393023255814,-0.01205634783533165
-0.005531053023255814,-0.009192868310685188
-0.005530713023255814,-0.004222921089747064
-0.005530373023255814,-0.005078673591365549
-0.005530033023255814,-0.003729217723428708
-0.005529693023255814,-0.008073807347032639
-0.005529353023255814,-0.00939034965721253
-0.005529013023255814,-0.007876326000502903
-0.005528673023255814,-0.007250968403170509
-0.005528333023255814,-0.009554917445985316
-0.005527993023255814,-0.01070689196739481
-0.005527653023255814,-0.009916966581286163
-0.005527313023255814,-0.01031192927434013
-0.005526973023255814,-0.01143099023799507
-0.005526633023255813,-0.01031192927433696
-0.005526293023255814,-0.008567510713348603
-0.005525953023255814,-0.01060815129413114
-0.005525613023255813,-0.00626356167052709
-0.005525273023255814,-0.004881192244838206
-0.005524933023255814,-0.004848278687083649
-0.005524593023255813,-0.003202600799356452
-0.005524253023255814,-0.003564649934655922
-0.005523913023255814,-0.005341982053402005
-0.005523573023255813,-0.00952200388823962
-0.005523233023255814,-0.01439321043590521
-0.005522893023255814,-0.02739406574895527
-0.005522553023255813,-0.04477242424340267
-0.005522213023255814,-0.06744986553625126
-0.005521873023255814,-0.09615048789822506
-0.005521533023255813,-0.1285374287287683
-0.005521193023255814,-0.1609901966747026
-0.005520853023255814,-0.1957140001057603
-0.005520513023255814,-0.2185560091873814
-0.005520173023255814,-0.2355064914310199
-0.005519833023255814,-0.2552546260837542
-0.005519493023255814,-0.2635159290801329
-0.005519153023255814,-0.2731266879444786
-0.005518813023255814,-0.2744103166969064
-0.005518473023255814,-0.2701973813043307
-0.005518133023255814,-0.2659844459117398
-0.005517793023255814,-0.2619360783079292
-0.005517453023255814,-0.2556825023345747
-0.005517113023255814,-0.2469604095296057
-0.005516773023255814,-0.2395219454770758
-0.005516433023255814,-0.2251387207383606
-0.005516093023255814,-0.2213536615965603
-0.005515753023255814,-0.2124011738873208
-0.005515413023255814,-0.2057526352209123
-0.005515073023255814,-0.1984787389571431
-0.005514733023255814,-0.1910731884623678
-0.005514393023255814,-0.1849841802777858
-0.005514053023255814,-0.179685097479291
-0.005513713023255814,-0.1730365588128705
-0.005513373023255814,-0.167441253994606
-0.005513033023255814,-0.163261232159767
-0.005512693023255814,-0.1567443477243647
-0.005512353023255814,-0.1525314123317814
-0.005512013023255814,-0.1484172176124618
-0.005511673023255814,-0.1428548263519416
-0.005511333023255814,-0.1384114960550764
-0.005510993023255814,-0.1342643877780022
-0.005510653023255814,-0.1313350811378466
-0.005510313023255814,-0.126398047474663
-0.005509973023255814,-0.115404919184641
-0.005509633023255814,-0.1101387499439118
-0.005509293023255814,-0.1032927299309639
-0.005508953023255814,-0.1002646826175415
-0.005508613023255814,-0.09852026405655318
-0.005508273023255814,-0.09302369991154213
-0.005507933023255814,-0.0904893559644377
-0.005507593023255814,-0.08854745605692238
-0.005507253023255814,-0.08436743422209361
-0.005506913023255814,-0.08380790374025955
-0.005506573023255814,-0.08018741238726487
-0.005506233023255814,-0.07850882094178246
-0.005505893023255813,-0.0765669210342598
-0.005505553023255814,-0.0744933668957265
-0.005505213023255814,-0.07314391102778964
-0.005504873023255813,-0.07320973814329697
-0.005504533023255814,-0.07222233141066206
-0.005504193023255814,-0.0676473468827786
-0.005503853023255813,-0.06550796562873175
-0.005503513023255814,-0.06514591649343227
-0.005503173023255814,-0.06083424042758529
-0.005502833023255813,-0.05889234052006487
-0.005502493023255814,-0.05803658801844794
-0.005502153023255814,-0.05533767628257425
-0.005501813023255813,-0.05362617127933483
-0.005501473023255814,-0.05227671541140044
-0.005501133023255814,-0.0490841003092084
-0.005500793023255813,-0.04658266991986092
-0.005500453023255814,-0.04595731232252548
-0.005500113023255814,-0.04569400386048902
-0.005499773023255814,-0.04447620222357262
-0.005499433023255814,-0.03746561442184974
-0.005499093023255814,-0.03670860259349493
-0.005498753023255814,-0.0346679620127161
-0.005498413023255814,-0.03776183644164076
-0.005498073023255814,-0.03973664990691418
-0.005497733023255814,-0.03647820768921896
-0.005497393023255814,-0.03535914672555809
-0.005497053023255814,-0.03381220951109391
-0.005496713023255814,-0.03088290287094365
-0.005496373023255814,-0.03006006392707439
-0.005496033023255814,-0.0295992741185106
-0.005495693023255814,-0.02864478094363017
-0.005495353023255814,-0.02867769450138299
-0.005495013023255814,-0.02910557075219224
-0.005494673023255814,-0.02792068267303034
-0.005494333023255814,-0.0284472995971011
-0.005493993023255814,-0.02815107757731008
-0.005493653023255814,-0.02535342516817782
-0.005493313023255814,-0.02390522862697221
-0.005492973023255814,-0.02403688285799044
-0.005492633023255814,-0.023411525260655
-0.005492293023255814,-0.02137088467987132
-0.005491953023255814,-0.02216081006598069
-0.005491613023255814,-0.02173293381517222
