#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-13 17:44:41.781.366.300
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average
#Channel 4: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V),Channel 4 (V)
-0.00557039620730271,0.009304551147375908,nan
-0.005570056207302709,0.0101273900912393,nan
-0.005569716207302709,0.00983116807144882,nan
-0.00556937620730271,0.00779052749066628,nan
-0.005569036207302709,0.00667146652701068,nan
-0.005568696207302709,0.00630941739171121,nan
-0.00556835620730271,0.00528909710131994,nan
-0.005568016207302709,0.004696653061739409,nan
-0.005567676207302709,0.005519492005601839,nan
-0.00556733620730271,0.004532085272965126,nan
-0.005566996207302709,0.004894134408266931,nan
-0.005566656207302709,0.005815714025392853,nan
-0.00556631620730271,0.005782800467638296,nan
-0.005565976207302709,0.005519492005604593,nan
-0.005565636207302709,0.007033515662311467,nan
-0.00556529620730271,0.005716973352129182,nan
-0.005564956207302709,0.004235863253174651,nan
-0.005564616207302709,0.004532085272965126,nan
-0.00556427620730271,0.004334603926437783,nan
-0.005563936207302709,0.002392704018917657,nan
-0.005563596207302709,0.001701519306073215,nan
-0.00556325620730271,0.002623098923200814,nan
-0.00556291620730271,-0.00208353983569229,nan
-0.005562576207302709,-0.0007669975255185678,nan
-0.00556223620730271,0.004433344599701455,nan
-0.00556189620730271,0.003445937867066538,nan
-0.005561556207302709,0.001438210844036758,nan
-0.00556121620730271,-0.001622750027137053,nan
-0.00556087620730271,-0.0003720348324661577,nan
-0.005560536207302709,-0.003268427914864908,nan
-0.00556019620730271,-0.0007999110832731249,nan
-0.00555985620730271,-0.004617883782794804,nan
-0.005559516207302709,-0.005769858304211248,nan
-0.00555917620730271,-0.004025439743219721,nan
-0.00555883620730271,-0.0006024297367520086,nan
-0.005558496207302709,-0.006921832825620747,nan
-0.00555815620730271,-0.006230648112775047,nan
-0.00555781620730271,-0.004091266858732727,nan
-0.005557476207302709,-0.005572376957683906,nan
-0.00555713620730271,-0.005802771861965805,nan
-0.00555679620730271,0.002820580269712472,nan
-0.005556456207302709,-0.006526870132566062,nan
-0.00555611620730271,2.292786059080275e-05,nan
-0.00555577620730271,0.0007799396889442391,nan
-0.005555436207302709,-0.00790923955825746,nan
-0.00555509620730271,-0.006296475228284162,nan
-0.00555475620730271,-0.003531736376906394,nan
-0.005554416207302709,-0.006823092152357076,nan
-0.00555407620730271,-0.008007980231521132,nan
-0.00555373620730271,-0.007744671769484675,nan
-0.005553396207302709,-0.006428129459302391,nan
-0.00555305620730271,-0.007547190422957332,nan
-0.00555271620730271,-0.00517741426462922,nan
-0.005552376207302709,-0.00665852436358429,nan
-0.005552036207302709,-0.006230648112775047,nan
-0.00555169620730271,-0.005638204073193019,nan
-0.005551356207302709,-0.005572376957682888,nan
-0.005551016207302709,-0.005012846475856435,nan
-0.00555067620730271,-0.005539463399929348,nan
-0.005550336207302709,-0.006263561670532838,nan
-0.005549996207302709,-0.008040893789275689,nan
-0.00554965620730271,-0.005012846475856435,nan
-0.005549316207302709,-0.004387488878522484,nan
-0.005548976207302709,-0.005835685419720362,nan
-0.00554863620730271,-0.006000253208493148,nan
-0.005548296207302709,-0.007382622634184067,nan
-0.005547956207302709,-0.00711931417214809,nan
-0.00554761620730271,-0.005671117630947577,nan
-0.005547276207302709,-0.006559783690330198,nan
-0.005546936207302709,-0.01182595293104976,nan
-0.00554659620730271,-0.008468770040084931,nan
-0.005546256207302709,-0.002379761855494021,nan
-0.005545916207302709,-0.003564649934655922,nan
-0.00554557620730271,-0.002939292337319337,nan
-0.005545236207302709,-0.007250968403170868,nan
-0.005544896207302709,-0.009752398792512659,nan
-0.00554455620730271,-0.007086400614393532,nan
-0.005544216207302709,-0.006790178594607787,nan
-0.005543876207302709,-0.009686571677003543,nan
-0.00554353620730271,-0.009291608983948858,nan
-0.005543196207302709,-0.007086400614393951,nan
-0.005542856207302709,-0.007316795518675433,nan
-0.00554251620730271,-0.0101802750433219,nan
-0.00554217620730271,-0.00853459715559704,nan
-0.005541836207302709,-0.007744671769484675,nan
-0.00554149620730271,-0.00767884465397556,nan
-0.00554115620730271,-0.007053487056640113,nan
-0.005540816207302709,-0.007481363307448217,nan
-0.00554047620730271,-0.007152227729902647,nan
-0.00554013620730271,-0.005769858304213763,nan
-0.005539796207302709,-0.005506549842174791,nan
-0.00553945620730271,-0.006790178594602518,nan
-0.00553911620730271,-0.005045760033614164,nan
-0.005538776207302709,-0.003465909261392251,nan
-0.00553843620730271,-0.004222921089747064,nan
-0.00553809620730271,-0.003070946568339661,nan
-0.005537756207302709,-0.003038033010583008,nan
-0.00553741620730271,-0.003465909261392251,nan
-0.00553707620730271,-0.002445588971002837,nan
-0.005536736207302709,-0.003827958396692379,nan
-0.00553639620730271,-0.01054232417862203,nan
-0.00553605620730271,-0.005012846475866493,nan
-0.005535716207302709,-0.002149366951209966,nan
-0.00553537620730271,-0.003729217723428708,nan
-0.00553503620730271,-0.002445588971003315,nan
-0.005534696207302709,-0.005934426092984033,nan
-0.00553435620730271,-0.006000253208493148,nan
-0.00553401620730271,-0.003400082145887866,nan
-0.005533676207302709,-0.003432995703637694,nan
-0.00553333620730271,-0.005012846475856435,nan
-0.00553299620730271,-0.006559783690320619,nan
-0.005532656207302709,-0.005144500706874663,nan
-0.00553231620730271,-0.006230648112775047,nan
-0.00553197620730271,-0.008238375135803031,nan
-0.005531636207302709,-0.007777585327239231,nan
-0.00553129620730271,-0.008402942924575817,nan
-0.00553095620730271,-0.009061214079666959,nan
-0.005530616207302709,-0.008304202251312145,nan
-0.005530276207302709,-0.007975066673766575,nan
-0.00552993620730271,-0.008402942924575817,nan
-0.005529596207302709,-0.007514276865201398,nan
-0.005529256207302709,-0.006757265036847961,nan
-0.00552891620730271,-0.007975066673766575,nan
-0.005528576207302709,-0.006987659941129681,nan
-0.005528236207302709,-0.00688891926786619,nan
-0.00552789620730271,-0.003465909261392251,nan
-0.005527556207302709,-0.005210327822381562,nan
-0.005527216207302709,-0.003992526185465165,nan
-0.00552687620730271,-0.005045760033610991,nan
-0.005526536207302709,-0.006164820997269646,nan
-0.005526196207302709,-0.008205461578048474,nan
-0.00552585620730271,-0.01120059533371317,nan
-0.005525516207302709,-0.005967339650738232,nan
-0.005525176207302709,-0.005769858304211248,nan
-0.00552483620730271,-0.004617883782801749,nan
-0.005524496207302709,-0.008205461578052006,nan
-0.005524156207302709,-0.01014736148556734,nan
-0.00552381620730271,-0.008238375135803031,nan
-0.005523476207302709,-0.01126642244923534,nan
-0.005523136207302709,-0.01844157803971573,nan
-0.00552279620730271,-0.03210070450785693,nan
-0.005522456207302709,-0.05181592560288118,nan
-0.005522116207302709,-0.07630361257222712,nan
-0.00552177620730271,-0.1049384078186918,nan
-0.005521436207302709,-0.1375886571112692,nan
-0.005521096207302709,-0.1687577963047781,nan
-0.00552075620730271,-0.1965368390496242,nan
-0.00552041620730271,-0.2219461056360961,nan
-0.005520076207302709,-0.2412005369225582,nan
-0.00551973620730271,-0.2539051702158173,nan
-0.00551939620730271,-0.263746323984412,nan
-0.005519056207302709,-0.2675972102417131,nan
-0.00551871620730271,-0.2673339017796766,nan
-0.00551837620730271,-0.2645362493705443,nan
-0.005518036207302709,-0.2608828444597834,nan
-0.00551769620730271,-0.2547280091596812,nan
-0.00551735620730271,-0.2490997907836622,nan
-0.005517016207302709,-0.2423525114439677,nan
-0.00551667620730271,-0.2350457016224561,nan
-0.00551633620730271,-0.2289237798801196,nan
-0.005515996207302709,-0.2210245260190147,nan
-0.00551565620730271,-0.2160545787980766,nan
-0.00551531620730271,-0.2043702657952301,nan
-0.005514976207302709,-0.1949899018351601,nan
-0.00551463620730271,-0.1871564750895755,nan
-0.00551429620730271,-0.1789609992087056,nan
-0.005513956207302709,-0.179981319499082,nan
-0.00551361620730271,-0.1722137198690065,nan
-0.00551327620730271,-0.1637220219683462,nan
-0.005512936207302709,-0.1589824696516746,nan
-0.00551259620730271,-0.1539796088729819,nan
-0.00551225620730271,-0.148845093863271,nan
-0.005511916207302709,-0.1441384551043693,nan
-0.00551157620730271,-0.1400242603850497,nan
-0.00551123620730271,-0.133013672583329,nan
-0.005510896207302709,-0.1294260947880823,nan
-0.00551055620730271,-0.1241928391051077,nan
-0.00551021620730271,-0.1104020584059483,nan
-0.005509876207302709,-0.1148124751450589,nan
-0.005509536207302709,-0.1109286753300212,nan
-0.00550919620730271,-0.1045763586833917,nan
-0.005508856207302709,-0.1013179164656848,nan
-0.005508516207302709,-0.09815821492125304,nan
-0.00550817620730271,-0.09338574904684227,nan
-0.005507836207302709,-0.09150967625482945,nan
-0.005507496207302709,-0.08983108480935009,nan
-0.00550715620730271,-0.08775753067081299,nan
-0.005506816207302709,-0.08588145787879978,nan
-0.005506476207302709,-0.08397247152903894,nan
-0.00550613620730271,-0.08035198017603765,nan
