#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-13 16:39:39.062.020.550
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.00557049233497537,-0.01268170543266824
-0.00557015233497537,-0.01396533418509764
-0.00556981233497537,-0.01488691380222357
-0.00556947233497537,-0.01442612399365977
-0.00556913233497537,-0.01459069178243531
-0.00556879233497537,-0.01610471543914218
-0.00556845233497537,-0.01613762899689674
-0.00556811233497537,-0.01584140697710536
-0.00556777233497537,-0.01564392563057838
-0.00556743233497537,-0.01577557986159661
-0.00556709233497537,-0.01620345611240741
-0.00556675233497537,-0.01705920861402434
-0.00556641233497537,-0.01636802390117864
-0.00556607233497537,-0.01521604937977057
-0.00556573233497537,-0.01600597476587851
-0.00556539233497537,-0.01587432053486028
-0.00556505233497537,-0.01491982735997681
-0.00556471233497537,-0.01419572908937787
-0.00556437233497537,-0.01357037149204128
-0.005564032334975369,-0.01363619860755237
-0.00556369233497537,-0.01472234601345078
-0.00556335233497537,-0.01488691380222357
-0.00556301233497537,-0.01373493928081616
-0.00556267233497537,-0.01468943245569622
-0.00556233233497537,-0.01620345611240585
-0.00556199233497537,-0.01347163081878258
-0.00556165233497537,-0.01320832235674115
-0.00556131233497537,-0.01495274091773268
-0.00556097233497537,-0.0147223460134512
-0.00556063233497537,-0.01587432053486028
-0.00556029233497537,-0.01511730870650547
-0.00555995233497537,-0.01663133236321234
-0.00555961233497537,-0.01837575092420662
-0.00555927233497537,-0.01949481188786156
-0.00555893233497537,-0.01751999842259173
-0.00555859233497537,-0.01659841880546054
-0.00555825233497537,-0.01784913400013371
-0.00555791233497537,-0.01613762899689985
-0.00555757233497537,-0.01482108668671445
-0.00555723233497537,-0.01422864264713243
-0.00555689233497537,-0.01324123591449751
