#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-13 11:13:26.568.863.250
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.005570381250000001,0.0001545820916090312
-0.00557004125,-0.000569516178992243
-0.005569701250000001,-0.001129046660818696
-0.005569361250000001,-0.0008986517565367963
-0.00556902125,-0.002511416086510633
-0.005568681250000001,-0.002807638106301108
-0.005568341250000001,-0.003169687241601236
-0.00556800125,-0.004255834647502219
-0.005567661250000001,-0.004584970225047193
-0.005567321250000001,-0.003762131281183265
-0.00556698125,-0.004288748205258633
-0.005566641250000001,-0.005638204073193019
-0.005566301250000001,-0.005835685419720362
-0.00556596125,-0.007152227729913723
-0.00556562125,-0.01324123591449571
-0.005565281250000001,-0.009094127637421515
-0.00556494125,-0.004255834647511739
-0.00556460125,-0.009818225908021772
-0.005564261250000001,-0.01123350889146773
-0.00556392125,-0.00879790561763134
-0.00556358125,-0.009258695426194301
-0.005563241250000001,-0.008534597155594046
-0.005562901250000001,-0.007349709076432145
-0.00556256125,-0.00767884465397556
-0.005562221250000001,-0.008007980231521132
-0.005561881250000001,-0.007744671769485153
-0.00556154125,-0.007843412442748346
-0.005561201250000001,-0.008995386964157845
-0.005560861250000001,-0.008370029366822398
-0.00556052125,-0.009094127637421515
-0.005560181250000001,-0.009489090330476201
-0.005559841250000001,-0.006658524363589439
-0.00555950125,-0.006954746383375304
-0.005559161250000001,-0.007580103980711889
-0.005558821250000001,-0.006790178594603955
-0.00555848125,-0.007185141287657204
-0.005558141250000001,-0.008567510713348603
-0.005557801250000001,-0.008863732733139076
-0.00555746125,-0.01146390379574963
-0.005557121250000001,-0.01370202572305951
-0.005556781250000001,-0.01370202572305951
-0.00555644125,-0.01488691380222357
-0.005556101250000001,-0.01640093745893319
-0.005555761250000001,-0.01538061716854378
-0.00555542125,-0.01840866448196118
-0.005555081250000001,-0.01353745793428673
-0.005554741250000001,-0.01376785283856821
-0.00555440125,-0.01093728687167671
-0.005554061250000001,-0.01027901571658557
-0.005553721250000001,-0.01478817312895989
-0.00555338125,-0.01159555802676786
-0.005553041250000001,-0.01050941062086747
-0.005552701250000001,-0.0120234342775771
-0.00555236125,-0.01255005120165001
-0.005552021250000001,-0.01297792745245925
-0.005551681250000001,-0.01426155620488698
-0.00555134125,-0.01432738332039939
-0.005551001250000001,-0.01613762899689674
-0.005550661250000001,-0.0152489629375237
-0.00555032125,-0.01416281553162151
-0.005549981250000001,-0.0131754087989866
-0.005549641250000001,-0.01406407485835964
-0.00554930125,-0.01291210033695152
-0.005548961250000001,-0.01366911216530495
-0.005548621250000001,-0.01343871726102305
-0.00554828125,-0.01225382918186115
-0.005547941250000001,-0.01343871726102305
-0.005547601250000001,-0.009159954752930631
-0.00554726125,-0.01327414947224841
-0.005546921250000001,-0.012253829181859
-0.005546581250000001,-0.01393242062734141
-0.00554624125,-0.01278044610593119
-0.005545901250000001,-0.01238548341287723
-0.005545561250000001,-0.01258296475940457
-0.00554522125,-0.01653259168995058
-0.005544881250000001,-0.01607180188138762
-0.005544541250000001,-0.01057523773637659
-0.00554420125,-0.008732078502117737
-0.00554386125,-0.006724351479093405
-0.005543521250000001,-0.0111018546604495
-0.00554318125,-0.014886913802218
-0.00554284125,-0.01182595293104976
-0.005542501250000001,-0.01347163081877761
-0.005542161250000001,-0.01689464082524532
-0.00554182125,-0.01633511034342408
-0.005541481250000001,-0.01597306120812395
-0.005541141250000001,-0.01653259168995041
-0.00554080125,-0.01640093745893319
-0.005540461250000001,-0.01564392563057838
-0.005540121250000001,-0.01515022226426092
-0.00553978125,-0.01482108668671445
-0.005539441250000001,-0.01521604937976914
-0.005539101250000001,-0.0168288137097395
-0.00553876125,-0.01406407485835964
-0.005538421250000001,-0.01284627322144103
-0.005538081250000001,-0.0143602968781479
-0.00553774125,-0.01518313582201458
-0.005537401250000001,-0.01518313582201458
-0.005537061250000001,-0.01541353072629606
-0.00553672125,-0.01577557986159661
-0.005536381250000001,-0.01584140697710572
-0.005536041250000001,-0.01712503572953112
-0.00553570125,-0.01561101207282382
-0.005535361250000001,-0.01399824774285052
-0.005535021250000001,-0.01521604937976692
-0.00553468125,-0.01877071361726131
-0.005534341250000001,-0.0129450138947047
-0.005534001250000001,-0.008600424271111063
-0.00553366125,-0.01031192927434013
-0.005533321250000001,-0.01034484283209469
-0.005532981250000001,-0.01617054255465129
-0.00553264125,-0.01979103390765257
-0.005532301250000001,-0.01784913400013371
-0.005531961250000001,-0.01791496111564282
-0.00553162125,-0.02278616766331727
-0.005531281250000001,-0.02110757621783486
-0.005530941250000001,-0.01926441698357966
-0.00553060125,-0.01985686102316169
-0.005530261250000001,-0.01926441698357966
-0.005529921250000001,-0.01765165265360636
-0.00552958125,-0.01844157803971196
-0.005529241250000001,-0.01636802390117864
-0.005528901250000001,-0.01498565447548724
-0.00552856125,-0.01712503572953225
-0.005528221250000001,-0.01646676457444231
-0.005527881250000001,-0.01452486466692344
-0.00552754125,-0.01511730870650876
-0.005527201250000001,-0.01692755438300611
-0.005526861250000001,-0.01699338149851522
-0.00552652125,-0.01620345611240777
-0.005526181250000001,-0.01725668996055168
-0.005525841250000001,-0.01613762899689674
-0.00552550125,-0.01715794928728495
-0.005525161250000001,-0.01547935784180559
-0.005524821250000001,-0.01192469360431343
-0.00552448125,-0.01406407485836491
-0.005524141250000001,-0.01696046794076066
-0.005523801250000001,-0.01004862081230367
-0.00552346125,-0.01373493928083736
-0.00552312125,-0.02653831324733678
-0.005522781250000001,-0.04296217856686078
-0.00552244125,-0.06945759255932582
-0.00552210125,-0.09506434049232468
-0.005521761250000001,-0.1242257526628623
-0.00552142125,-0.157172223975233
-0.00552108125,-0.1896249919211672
-0.005520741250000001,-0.216548282164395
-0.005520401250000001,-0.2387649336486806
-0.00552006125,-0.2575256615688186
-0.005519721250000001,-0.2683542220700679
-0.005519381250000001,-0.2737520455418054
-0.00551904125,-0.2750685878519975
-0.005518701250000001,-0.2734887370797788
-0.005518361250000001,-0.2691770610139396
-0.00551802125,-0.2640425460042209
-0.005517681250000001,-0.2578547971463641
-0.005517341250000001,-0.2490997907836679
-0.00551700125,-0.2424512521172314
-0.005516661250000001,-0.2354077507577562
-0.005516321250000001,-0.2260273867977245
-0.00551598125,-0.2175356888970317
