#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-13 11:30:00.443.102.320
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.005570332672112019,0.005947368256411082
-0.005569992672112018,0.004630825946226582
-0.005569652672112018,0.003413024309310185
-0.005569312672112019,0.001964827768109672
-0.005568972672112018,0.001339470170777039
-0.005568632672112018,0.003511764982573856
-0.005568292672112019,0.002919320942991828
-0.005567952672112018,0.002820580269732108
-0.005567612672112018,0.004992875081528926
-0.005567272672112019,0.004927047966019811
-0.005566932672112018,0.003314283636047112
-0.005566592672112018,0.003643419213592085
-0.005566252672112019,0.002952234500746385
-0.005565912672112018,0.001767346421582868
-0.005565572672112018,0.002063568441373343
-0.005565232672112019,0.0009445074777184018
-0.005564892672112018,2.292786059098236e-05
-0.005564552672112018,0.0001216685338544741
-0.005564212672112019,-0.001392355122855153
-0.005563872672112018,-0.006526870132552292
-0.005563532672112018,0.001043248150982073
-0.005563192672112019,0.000417890553645488
-0.005562852672112019,-0.004683710898301584
-0.005562512672112018,-0.004453315994028964
-0.005562172672112019,-0.0009644788720459105
-0.005561832672112019,-0.001589836469381358
-0.005561492672112018,-0.002379761855491866
-0.005561152672112019,-0.0001087263704274257
-0.005560812672112019,-0.001458182238361812
-0.005560472672112018,-0.002741810990791994
-0.005560132672112019,-0.003663390607919593
-0.005559792672112019,-0.00346590926139261
-0.005559452672112018,-0.005078673591365549
-0.005559112672112019,-0.006592697248075176
-0.005558772672112019,-0.004321661763014866
-0.005558432672112018,-0.008567510713348603
-0.005558092672112019,-0.004782451571574535
-0.005557752672112019,-0.006230648112772413
-0.005557412672112018,-0.00665852436358429
-0.005557072672112019,-0.005473636284420234
-0.005556732672112019,-0.004881192244839284
-0.005556392672112018,-0.007218054845411761
-0.005556052672112019,-0.007152227729902647
-0.005555712672112019,-0.002511416086518535
-0.005555372672112018,-0.007382622634184546
-0.005555032672112018,-0.008402942924575817
-0.005554692672112019,-0.00896247340640227
-0.005554352672112018,-0.01070689196739481
-0.005554012672112018,-0.01152973091125874
-0.005553672672112019,-0.01264879187491368
-0.005553332672112018,-0.01376785283856862
-0.005552992672112018,-0.01077271908290393
-0.005552652672112019,-0.009192868310685188
-0.005552312672112018,-0.005835685419720362
-0.005551972672112018,-0.008567510713348603
-0.005551632672112019,-0.0111018546604495
-0.005551292672112018,-0.007711758211727603
-0.005550952672112018,-0.006329388786038719
-0.005550612672112019,-0.007086400614393532
-0.005550272672112018,-0.007415536191938745
-0.005549932672112018,-0.007218054845411761
-0.005549592672112019,-0.005835685419720362
-0.005549252672112018,-0.005638204073196072
-0.005548912672112018,-0.007316795518675433
-0.005548572672112019,-0.006395215901547833
-0.005548232672112018,-0.005177414264629101
-0.005547892672112018,-0.005111587149120106
-0.005547552672112019,-0.00665852436358429
-0.005547212672112018,-0.006263561670529485
-0.005546872672112018,-0.00619773455502049
-0.005546532672112019,-0.005078673591365549
-0.005546192672112018,-0.005868598977479111
-0.005545852672112018,-0.008172548020293918
-0.005545512672112019,-0.009127041195176074
-0.005545172672112018,-0.008666251386614789
-0.005544832672112018,-0.01004862081230367
-0.005544492672112019,-0.0113322495647314
-0.005544152672112018,-0.01139807668024075
-0.005543812672112018,-0.01152973091125874
-0.005543472672112019,-0.01185886648880431
-0.005543132672112018,-0.01324123591449589
-0.005542792672112018,-0.01333997658775938
-0.005542452672112019,-0.008205461578048474
-0.005542112672112019,-0.01087145975616275
-0.005541772672112018,-0.00869916494436683
-0.005541432672112019,-0.007514276865202775
-0.005541092672112019,-0.01445903755140169
-0.005540752672112018,-0.01310958168347748
-0.005540412672112019,-0.00962074456149443
-0.005540072672112019,-0.00925869542619496
-0.005539732672112018,-0.01047649706311291
-0.005539392672112019,-0.01067397840964026
-0.005539052672112019,-0.01034484283209528
-0.005538712672112018,-0.008073807347030245
-0.005538372672112019,-0.01027901571658557
-0.005538032672112019,-0.009225781868441659
-0.005537692672112018,-0.007942153116012016
-0.005537352672112019,-0.008205461578048474
-0.005537012672112019,-0.008501683597838948
-0.005536672672112018,-0.008435856482330374
-0.005536332672112019,-0.009028300521912402
-0.005535992672112019,-0.009390349657211871
-0.005535652672112018,-0.008238375135803031
-0.005535312672112019,-0.01067397840964026
-0.005534972672112019,-0.01189178004655666
-0.005534632672112018,-0.01014736148556734
-0.005534292672112019,-0.009949880139040001
-0.005533952672112019,-0.01027901571658497
-0.005533612672112018,-0.008468770040084931
-0.005533272672112018,-0.006856005710111633
-0.005532932672112019,-0.007942153116012016
-0.005532592672112018,-0.0113322495647314
-0.005532252672112018,-0.009851139465776329
-0.005531912672112019,-0.005638204073193019
-0.005531572672112018,-0.01106894110269494
-0.005531232672112018,-0.008764992059875945
-0.005530892672112019,-0.009884053023530886
-0.005530552672112018,-0.01547935784180559
-0.005530212672112018,-0.01399824774285052
-0.005529872672112019,-0.0106410648518857
-0.005529532672112018,-0.01110185466044914
-0.005529192672112018,-0.01090437331392216
-0.005528852672112019,-0.009851139465776329
-0.005528512672112018,-0.007744671769483597
-0.005528172672112018,-0.007152227729902647
-0.005527832672112019,-0.00767884465397556
-0.005527492672112018,-0.008633337828854483
-0.005527152672112018,-0.006856005710111633
-0.005526812672112019,-0.008040893789275689
-0.005526472672112018,-0.008995386964157545
