#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-12 11:33:52.849.947.690
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.005570468178343949,0.004367517484192341
-0.005570128178343949,0.003840900560120146
-0.005569788178343949,0.004235863253174112
-0.005569448178343949,0.003544678540328413
-0.005569108178343949,0.002425617576673053
-0.005568768178343949,0.002195222672391572
-0.005568428178343949,0.00176734642158233
-0.005568088178343949,-0.0006353432945015966
-0.005567748178343949,-0.001326528007346039
-0.005567408178343949,-0.001326528007346039
-0.005567068178343949,-0.001622750027136813
-0.005566728178343949,-0.001491095796118824
-0.005566388178343949,-0.00267598387528288
-0.005566048178343949,-0.003795044838938181
-0.005565708178343949,-0.003992526185465165
-0.005565368178343949,-0.004453315994028964
-0.005565028178343949,-0.007152227729911627
-0.005564688178343949,-0.01208926139308621
-0.005564348178343949,-0.005967339650738591
-0.005564008178343949,-0.003103860126090386
-0.005563668178343949,-0.002149366951209966
-0.005563328178343949,-0.001688577142646167
-0.005562988178343949,-0.005671117630940333
-0.005562648178343949,-0.006790178594602518
-0.005562308178343949,-0.004255834647501621
-0.005561968178343949,-0.006098993881753466
-0.005561628178343949,-0.007876326000502903
-0.005561288178343949,-0.006921832825620747
-0.005560948178343949,-0.007119314172147731
-0.005560608178343949,-0.008402942924575817
-0.005560268178343949,-0.007053487056638975
-0.005559928178343949,-0.007152227729902467
-0.005559588178343949,-0.008205461578048474
-0.005559248178343949,-0.00860042427110316
-0.005558908178343949,-0.008205461578049193
-0.005558568178343949,-0.009884053023530886
-0.005558228178343949,-0.009127041195176074
-0.005557888178343949,-0.009061214079667078
-0.005557548178343949,-0.009423263214967087
-0.005557208178343949,-0.008929559848648731
-0.005556868178343949,-0.006625610805833924
-0.005556528178343949,-0.007547190422957332
-0.005556188178343949,-0.008633337828857716
-0.005555848178343949,-0.007086400614396346
-0.005555508178343949,-0.009522003888230759
-0.005555168178343949,-0.01024610215883101
-0.005554828178343949,-0.009554917445986574
-0.005554488178343949,-0.01143099023799507
-0.005554148178343949,-0.01547935784180559
-0.005553808178343949,-0.005572376957683906
-0.005553468178343949,-0.00688891926786619
-0.005553128178343949,-0.01241839697063178
-0.005552788178343949,-0.01136516312248596
-0.005552448178343949,-0.01077271908290393
-0.005552108178343949,-0.0124842240861409
-0.005551768178343949,-0.01350454437653217
-0.005551428178343949,-0.01399824774284939
-0.005551088178343949,-0.01337289014551394
-0.005550748178343949,-0.01376785283856862
-0.005550408178343949,-0.01120059533371329
-0.005550068178343949,-0.01126642244922228
-0.005549728178343949,-0.01070689196739481
-0.005549388178343949,-0.01100311398718661
-0.005549048178343949,-0.01143099023799507
-0.005548708178343949,-0.01189178004655887
-0.005548368178343949,-0.01083854619840508
-0.005548028178343949,-0.006461043017056948
-0.005547688178343949,-0.01034484283209469
-0.005547348178343949,-0.01143099023799585
-0.005547008178343949,-0.01185886648880431
-0.005546668178343949,-0.01218800206634988
-0.005546328178343949,-0.01238548341287926
-0.005545988178343949,-0.01350454437653217
-0.005545648178343949,-0.01577557986159661
-0.005545308178343949,-0.01432738332039717
-0.005544968178343949,-0.01491982735997812
-0.005544628178343949,-0.01337289014551394
-0.005544288178343949,-0.01373493928081395
-0.005543948178343949,-0.01366911216530495
-0.005543608178343949,-0.01475525957120534
-0.005543268178343949,-0.01412990197386845
-0.005542928178343949,-0.01396533418509597
-0.005542588178343949,-0.01630219678566952
-0.005542248178343949,-0.01508439514875312
-0.005541908178343949,-0.0150185680332418
-0.005541568178343949,-0.0159401476503694
-0.005541228178343949,-0.01768456621135775
-0.005540888178343949,-0.01620345611240585
-0.005540548178343949,-0.01666424592096965
-0.005540208178343949,-0.01633511034342468
-0.005539868178343949,-0.014557778224678
-0.005539528178343949,-0.01712503572953345
-0.005539188178343949,-0.01422864264713769
-0.005538848178343949,-0.0111018546604495
-0.005538508178343949,-0.01031192927434013
-0.005538168178343949,-0.008370029366824792
-0.005537828178343949,-0.01139807668024051
-0.005537488178343949,-0.01281335966368647
-0.005537148178343949,-0.01110185466045261
-0.005536808178343949,-0.01024610215883101
-0.005536468178343949,-0.01380076639632318
-0.005536128178343949,-0.01330706303000572
-0.005535788178343949,-0.012253829181859
-0.005535448178343949,-0.01251713764389546
-0.005535108178343949,-0.01396533418509333
-0.005534768178343949,-0.01310958168347748
-0.005534428178343949,-0.0131754087989866
-0.005534088178343949,-0.01386659351183104
-0.005533748178343949,-0.01389950706958685
-0.005533408178343949,-0.01199052071982254
-0.005533068178343949,-0.01149681735350419
-0.005532728178343949,-0.0120234342775771
-0.005532388178343949,-0.01037775638984924
-0.005532048178343949,-0.01116768177595861
-0.005531708178343949,-0.01113476821820406
-0.005531368178343949,-0.009916966581285444
-0.005531028178343949,-0.009851139465776329
-0.005530688178343949,-0.01123350889146773
-0.005530348178343949,-0.01152973091125874
-0.005530008178343949,-0.01192469360431343
-0.005529668178343949,-0.01320832235674511
-0.005529328178343949,-0.01538061716854192
-0.005528988178343949,-0.01952772544561612
-0.005528648178343949,-0.01314249524122929
-0.005528308178343949,-0.01162847158452241
-0.005527968178343949,-0.01103602754494038
-0.005527628178343949,-0.0139324206273465
-0.005527288178343949,-0.01673007303647877
-0.005526948178343949,-0.01531479005303281
-0.005526608178343949,-0.01584140697710668
-0.005526268178343949,-0.01636802390117864
-0.005525928178343949,-0.01712503572953345
-0.005525588178343949,-0.01696046794075893
-0.005525248178343949,-0.01600597476587851
-0.005524908178343949,-0.01742125774932446
-0.005524568178343949,-0.01719086284504304
-0.005524228178343949,-0.01745417130707902
-0.005523888178343949,-0.01600597476587851
-0.005523548178343949,-0.01985686102317366
-0.005523208178343949,-0.02643957257407311
-0.005522868178343949,-0.03818971269245
-0.005522528178343949,-0.05494271358956459
-0.005522188178343949,-0.07969370902094652
-0.005521848178343949,-0.108196850036393
-0.005521508178343949,-0.1406825315402001
-0.005521168178343949,-0.1732669537171524
-0.005520828178343949,-0.1997623677095708
-0.005520488178343949,-0.2259286461243961
-0.005520148178343949,-0.2470262366451149
-0.005519808178343949,-0.2605866224399924
-0.005519468178343949,-0.2679921729347542
-0.005519128178343949,-0.2722380218851056
-0.005518788178343949,-0.2746077980434337
-0.005518448178343949,-0.2751673285252602
-0.005518108178343949,-0.264700817159312
-0.005517768178343949,-0.2575256615688186
-0.005517428178343949,-0.2513049991532186
-0.005517088178343949,-0.2455780401039143
-0.005516748178343949,-0.2407068335562399
-0.005516408178343949,-0.2309973340186632
-0.005516068178343949,-0.2205966497682055
-0.005515728178343949,-0.2142772466793305
-0.005515388178343949,-0.2063121657027422
-0.005515048178343949,-0.1994332321320253
-0.005514708178343949,-0.191797286732968
-0.005514368178343949,-0.185576624317368
-0.005514028178343949,-0.1804091957498913
-0.005513688178343949,-0.1737935706412253
-0.005513348178343949,-0.1672766862058348
-0.005513008178343949,-0.1618459491763211
-0.005512668178343949,-0.1575013595527195
-0.005512328178343949,-0.1508199073285444
-0.005511988178343949,-0.1447638127017059
-0.005511648178343949,-0.1402875688470862
-0.005511308178343949,-0.1351201402796207
-0.005510968178343949,-0.1308413777715283
-0.005510628178343949,-0.1263651339169085
-0.005510288178343949,-0.1218888900622887
-0.005509948178343949,-0.1165239801482959
-0.005509608178343949,-0.1137592412969131
-0.005509268178343949,-0.1101058363861573
-0.005508928178343949,-0.1057283332047982
-0.005508588178343949,-0.1040826553170733
-0.005508248178343949,-0.1053991976272556
-0.005507908178343949,-0.1001330283865169
-0.005507568178343949,-0.0948997727035519
-0.005507228178343949,-0.09197046606339632
-0.005506888178343949,-0.08867911028794682
-0.005506548178343949,-0.09210212029441453
-0.005506208178343949,-0.08996273904036833
-0.005505868178343949,-0.0837749901825077
-0.005505528178343949,-0.08163560892846539
-0.005505188178343949,-0.07949622767441916
-0.005504848178343949,-0.07472376180000234
-0.005504508178343949,-0.07139949246679811
-0.005504168178343949,-0.07001712304110672
-0.005503828178343949,-0.06626497745708325
-0.005503488178343949,-0.06409268264528645
-0.005503148178343949,-0.0622824369687858
-0.005502808178343949,-0.05494271358953322
-0.005502468178343949,-0.06244700475755859
-0.005502128178343949,-0.06040636417677605
-0.005501788178343949,-0.05721374907458102
-0.005501448178343949,-0.05556807118685615
-0.005501108178343949,-0.05520602205155602
-0.005500768178343949,-0.0533628628172949
-0.005500428178343949,-0.05010442059959967
-0.005500088178343949,-0.04799795290330802
-0.005499748178343949,-0.04757007665249955
-0.005499408178343949,-0.04543069539845256
-0.005499068178343949,-0.04536486828294345
-0.005498728178343949,-0.04414706664602705
-0.005498388178343949,-0.04329131414440635
-0.005498048178343949,-0.04342296837542458
-0.005497708178343949,-0.04625353434231134
-0.005497368178343949,-0.03812388557694089
-0.005497028178343949,-0.0356553687453491
-0.005496688178343949,-0.03410843153088774
-0.005496348178343949,-0.03233109941213883
-0.005496008178343949,-0.03624781278493113
-0.005495668178343949,-0.03417425864639781
-0.005495328178343949,-0.02923722498321047
-0.005494988178343949,-0.03065250796665642
-0.005494648178343949,-0.0308829028709379
-0.005494308178343949,-0.03025754527360174
-0.005493968178343949,-0.02864478094362844
-0.005493628178343949,-0.02953344700299986
-0.005493288178343949,-0.02795359623078274
-0.005492948178343949,-0.02867769450138299
-0.005492608178343949,-0.02920431142545495
-0.005492268178343949,-0.02824981825057375
-0.005491928178343949,-0.02950053344524692
-0.005491588178343949,-0.03048794017788184
-0.005491248178343949,-0.03038919950461997
-0.005490908178343949,-0.0268345352671278
-0.005490568178343949,-0.02946761988749236
-0.005490228178343949,-0.02973092834952882
-0.005489888178343949,-0.02880934873240122
-0.005489548178343949,-0.0289080894056649
-0.005489208178343949,-0.02792068267302818
