#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-06-21 16:08:25.592.386.280
#Sample rate: 2.5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: -370 mV Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average
#Channel 3: Range: 100 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 1 (V),Channel 3 (V)
-0.0006553589473684211,0.0007278539149572216,-0.01988977458091625
-0.0006553189473684211,0.0009575838749623089,-0.01972520679214346
-0.000655278947368421,0.001154495269252312,-0.01847449159747173
-0.0006552389473684211,0.00108885813782239,-0.01926441698357966
-0.0006551989473684211,0.0008591281778173032,-0.01942898477235245
-0.0006551589473684211,0.000760672480672242,-0.01903402207929776
-0.0006551189473684211,0.0004981239549521344,-0.01873780005950675
-0.0006550789473684211,0.001318588097825985,-0.01883654073277024
-0.0006550389473684211,0.0008263096121018052,-0.01913276275256036
-0.0006549989473684211,0.0005637610863821751,-0.0185403187129794
-0.0006549589473684211,0.0008263096121022828,-0.01847449159747029
-0.0006549189473684211,0.000760672480672242,-0.01877071361726131
-0.0006548789473684211,0.00092476530924699,-0.01903402207929729
-0.0006548389473684211,0.0008919467435313727,-0.01877071361726113
-0.0006547989473684211,0.0003996682578070732,-0.01867197294399764
-0.0006547589473684211,0.0004981239549521344,-0.01850740515522485
-0.0006547189473684211,0.0001699382978019859,-0.01834283736645206
-0.0006546789473684211,0.0005637610863814588,-0.01850740515522455
-0.000654638947368421,0.001154495269251058,-0.01837575092420614
-0.0006545989473684211,0.0003996682578070732,-0.01811244246217016
-0.0006545589473684211,0.0002683939949470471,-0.01824409669318839
-0.0006545189473684211,0.000465305389237114,-0.01811244246217016
-0.0006544789473684211,0.0006622167835271808,-0.01821118313543383
-0.000654438947368421,0.0006950353492419027,-0.01761873909585169
-0.0006543989473684211,0.0005309425206671547,-0.01755291198034269
-0.0006543589473684211,0.0007934910463872624,-0.01807952890441561
-0.0006543189473684211,0.001121676703537411,-0.01788204755788826
-0.0006542789473684211,0.0007934910463872624,-0.01748708486483358
-0.0006542389473684211,0.0008263096121022231,-0.01791496111564204
-0.0006541989473684211,0.001220132400682417,-0.01765165265360636
-0.0006541589473684211,0.000760672480672242,-0.01722377640279712
-0.0006541189473684211,0.0009904024406773293,-0.01742125774932446
-0.0006540789473684211,0.0009247653092472885,-0.01748708486483358
-0.0006540389473684211,0.001187313834966919,-0.01696046794076162
-0.0006539989473684211,0.0007278539149578783,-0.01722377640279616
-0.0006539589473684211,0.00108885813782239,-0.01669715947872421
-0.0006539189473684211,0.00102322100639235,-0.01715794928728801
-0.0006538789473684211,0.00105603957210737,-0.01732251707606079
-0.0006538389473684211,0.001384225229256922,-0.01791496111564174
-0.000653798947368421,0.001121676703536694,-0.017289603518306
-0.0006537589473684211,0.0007278539149572216,-0.01715794928728801
-0.0006537189473684211,0.0008263096121022828,-0.01738834419156991
-0.0006536789473684211,0.001121676703537411,-0.01709212217177889
-0.0006536389473684211,0.00135140666354208,-0.01748708486483286
-0.000653598947368421,0.0009904024406770906,-0.01771747976911464
-0.0006535589473684211,0.0008591281778173032,-0.01725668996055168
-0.0006535189473684211,0.0003668496920920528,-0.01735543063381535
-0.0006534789473684211,0.0004981239549521344,-0.01755291198034269
-0.0006534389473684211,0.0004981239549521344,-0.01715794928728801
-0.0006533989473684211,0.0009247653092465124,-0.0172566899605515
-0.0006533589473684211,0.0006622167835271808,-0.01771747976911548
-0.0006533189473684211,0.0003996682578070732,-0.01719086284504256
-0.0006532789473684211,0.00108885813782239,-0.01673007303647877
-0.0006532389473684211,0.0001699382978019859,-0.01735543063381535
-0.0006531989473684211,0.0009575838749608762,-0.01669715947872541
